,어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자,위도,경도
37,리틀키즈어린이집,전라북도,전주시 완산구,민간,73,14,전라북도 전주시 완산구 따박골로 13,063-224-1963,063-223-5243,6,Y,8,1,,2019-04-01,35.80957357,127.1245593
38,하늘채어린이집,전라북도,전주시 완산구,민간,34,6,전라북도 전주시 완산구 화산천변로 55,063-236-7188,063-236-7288,4,N,0,1,,2019-04-01,35.82311411,127.115439
39,오렌지어린이집,전라북도,전주시 완산구,민간,210,20,전라북도 전주시 완산구 전룡로 132-8,063-272-0090,063-271-3090,10,Y,16,3,,2019-04-01,35.828842,127.1274564
40,레이나어린이집,전라북도,전주시 완산구,민간,31,9,전라북도 전주시 완산구 삼천천변1길 32,063-236-0108,063-227-0655,3,N,0,1,,2019-04-01,35.79394568,127.1133443
41,가람어린이집,전라북도,전주시 완산구,민간,39,3,전라북도 전주시 완산구 정동길 1-8,063-229-6775,063-229-6774,2,Y,0,1,,2019-04-01,35.78244926,127.1033098
42,엘리트어린이집,전라북도,전주시 완산구,민간,82,8,전라북도 전주시 완산구 맏내로 158-11,063-237-0022,063-237-0023,7,Y,16,1,,2019-04-01,35.79433823,127.1293646
43,미래어린이집,전라북도,전주시 완산구,민간,55,9,전라북도 전주시 완산구 서신천변1길 16,063-271-5330,063-275-1475,3,Y,4,2,,2019-04-01,35.82677322,127.1135486
44,열린생각어린이집,전라북도,전주시 완산구,민간,135,20,전라북도 전주시 완산구 원서곡길 8,063-252-7336,,9,Y,11,2,,2019-04-01,35.83568306,127.0972142
45,평화피노키오어린이집,전라북도,전주시 완산구,민간,240,23,전라북도 전주시 완산구 평화5길 24-21,063-226-8188,063-226-8190,15,Y,18,2,,2019-04-01,35.78426779,127.1363638
46,더큰빛어린이집,전라북도,전주시 완산구,민간,30,4,전라북도 전주시 완산구 서곡로 20-1,063-276-0094,063-276-0994,4,N,0,1,,2019-04-01,35.83142548,127.0974803
47,파랑어린이집,전라북도,전주시 완산구,민간,90,9,전라북도 전주시 완산구 서학3길 25-3,063-282-8008,063-282-8004,7,Y,0,1,,2019-04-01,35.80649556,127.1513553
48,유정어린이집,전라북도,전주시 완산구,민간,96,13,전라북도 전주시 완산구 원서곡길 46-34,063-273-1478,063-273-1498,5,Y,13,2,,2019-04-01,35.83375358,127.0941179
49,해맑은어린이집,전라북도,전주시 완산구,민간,99,8,전라북도 전주시 완산구 안행8길 30,063-236-5558,063-236-2071,7,Y,12,2,,2019-04-01,35.80022267,127.1323428
50,우석어린이집,전라북도,전주시 완산구,민간,129,10,전라북도 전주시 완산구 상거마4길 9,063-223-7429,063-227-2247,8,Y,16,3,,2019-04-01,35.79713514,127.1202349
51,호남어린이집,전라북도,전주시 완산구,민간,99,12,전라북도 전주시 완산구 삼산길 26,063-227-5300,063-227-9106,6,Y,9,4,,2019-04-01,35.79962798,127.0804453
52,타이니어린이집,전라북도,전주시 완산구,민간,49,11,전라북도 전주시 완산구 화산천변2길 3-3,063-223-1774,063-236-1774,5,N,8,1,,2019-04-01,35.81969706,127.1164799
53,알프스어린이집,전라북도,전주시 완산구,민간,28,7,전라북도 전주시 완산구 견훤로 100-14,070-4263-8271,063-232-4114,6,Y,8,3,,2019-04-01,35.82070273,127.1628974
54,한솔어린이집,전라북도,전주시 완산구,민간,89,9,전라북도 전주시 완산구 유연로 349-18,063-273-1350,063-273-1366,3,Y,0,1,,2019-04-01,35.8253179,127.1194424
55,중흥어린이집,전라북도,전주시 완산구,민간,26,7,전라북도 전주시 완산구 새터로 74,063-255-1031,,4,N,0,1,,2019-04-01,35.83521408,127.1142806
56,예찬어린이집,전라북도,전주시 완산구,민간,99,12,전라북도 전주시 완산구 삼천동1가 안행2길 33-3,063-224-3156,063-224-4282,7,Y,4,2,,2019-04-01,35.80117204,127.1286299
57,꿈사랑어린이나라어린이집,전라북도,전주시 완산구,민간,99,15,전라북도 전주시 완산구 화산천변3길 15-5,063-229-7766,063-229-7766,8,Y,0,4,,2019-04-01,35.82009406,127.1147084
58,꿈망울어린이집,전라북도,전주시 완산구,민간,28,7,전라북도 전주시 완산구 소대배기로 33,063-228-2460,,4,N,5,1,,2019-04-01,35.78782363,127.1341297
59,새싹어린이집,전라북도,전주시 완산구,민간,39,4,전라북도 전주시 완산구 양지3길 34-4,063-229-1463,063-228-3846,5,Y,0,0,,2019-04-01,35.78883235,127.1200279
60,그린예꿈어린이집,전라북도,전주시 완산구,민간,31,6,전라북도 전주시 완산구 평화로 100,063-229-0636,063-902-0635,4,Y,1,1,,2019-04-01,37.7660558,126.768558
61,서진우리어린이집,전라북도,전주시 완산구,민간,99,16,전라북도 전주시 완산구 평화동1가 평화18길 11,063-226-0799,063-226-0799,5,Y,9,3,,2019-04-01,35.79467495,127.135256
62,전통나비어린이집,전라북도,전주시 완산구,민간,28,9,전라북도 전주시 완산구 충경로 125-29,063-282-0671,063-282-0671,5,Y,7,1,,2019-04-01,35.82089777,127.1515951
63,고감도어린이집,전라북도,전주시 완산구,민간,105,17,전라북도 전주시 완산구 양지2길 5,063-222-1837,063-228-1837,12,Y,15,2,,2019-04-01,35.62936836,127.3274768
64,한동어린이집,전라북도,전주시 완산구,민간,68,8,전라북도 전주시 완산구 평화19길 13-6,063-225-5662,063-225-5661,5,Y,11,1,,2019-04-01,35.7954004,127.1380099
65,작은서전주어린이집,전라북도,전주시 완산구,민간,36,9,전라북도 전주시 완산구 난전들로 139-27,063-226-1331,063-236-1330,5,N,7,1,,2019-04-01,35.78040859,127.1148534
66,푸른초장어린이집,전라북도,전주시 완산구,민간,91,10,전라북도 전주시 완산구 덕적골3길 36-6,063-232-1331,,7,Y,15,2,,2019-04-01,35.79761403,127.1436003
67,신전주어린이집,전라북도,전주시 완산구,민간,89,6,전라북도 전주시 완산구 능안자구길 75,063-226-9422,063-226-2721,5,Y,0,1,,2019-04-01,35.80322874,127.0844769
68,판암어린이집,전라북도,전주시 완산구,민간,99,15,전라북도 전주시 완산구 안행9길 29-10,063-227-5464,063-227-5469,6,Y,16,2,,2019-04-01,35.8021823,127.1327419
69,온누리어린이집,전라북도,전주시 완산구,민간,40,12,전라북도 전주시 완산구 삼천천변1길 31-3,063-222-0076,063-222-6050,4,N,4,1,,2019-04-01,35.79548072,127.1140985
70,성원어린이집,전라북도,전주시 완산구,민간,33,5,전라북도 전주시 완산구 서신천변11길 22,063-254-4277,063-254-4277,4,Y,0,1,,2019-04-01,35.8308328,127.1110926
71,열린동화나라어린이집,전라북도,전주시 완산구,민간,110,16,전라북도 전주시 완산구 효자동2가 우전2길 8,063-227-2050,063-226-1649,9,Y,0,3,,2019-04-01,35.80562205,127.1083912
72,동화세상 어린이집,전라북도,전주시 완산구,민간,67,11,전라북도 전주시 완산구 양지3길 33-21,063-222-2728,063-225-6870,4,Y,8,3,,2019-04-01,34.7709273,127.7039168
73,천사어린이집,전라북도,전주시 완산구,민간,21,3,전라북도 전주시 완산구 장승배기로 13,063-229-3004,063-225-2411,3,N,3,0,,2019-04-01,37.49972647,126.9428349
74,미미어린이집,전라북도,전주시 완산구,민간,119,11,전라북도 전주시 완산구 감나무4길 27,063-271-1112,063-253-1198,9,Y,14,2,,2019-04-01,35.83146342,127.1197198
75,아이와숲어린이집,전라북도,전주시 완산구,민간,31,10,전라북도 전주시 완산구 안행2길 26,063-226-7080,063-226-1776,4,Y,6,1,,2019-04-01,35.80361872,127.1283521
76,파랑새어린이집,전라북도,전주시 완산구,민간,24,6,전라북도 전주시 완산구 평화동2가 난전들로 245-15,063-228-2092,063-228-2092,4,Y,0,1,,2019-04-01,35.78984428,127.1157242
77,에코어린이집,전라북도,전주시 완산구,민간,132,24,전라북도 전주시 완산구 화산천변6길 16,063-222-1611,063-223-7577,10,Y,16,4,,2019-04-01,35.8214607,127.1144518
78,가은어린이집,전라북도,전주시 완산구,민간,31,8,전라북도 전주시 완산구 삼천천변1길 46,063-226-7563,063-226-7563,4,N,5,1,,2019-04-01,35.79431038,127.1152788
79,꿈나래어린이집,전라북도,전주시 완산구,민간,33,4,전라북도 전주시 완산구 전룡5길 24-14,063-251-6696,,4,Y,0,0,,2019-04-01,35.82724983,127.1211864
80,온고을어린이집,전라북도,전주시 완산구,민간,89,10,전라북도 전주시 완산구 난전들로 220-38,063-224-6772,063-224-6880,6,Y,6,2,,2019-04-01,35.78750551,127.1201186
81,초록아이어린이집,전라북도,전주시 완산구,민간,49,8,전라북도 전주시 완산구 따박골6길 23,063-226-0931,063-229-8686,4,Y,0,1,,2019-04-01,35.80880772,127.1289603
82,하늘샘어린이집,전라북도,전주시 완산구,민간,32,9,전라북도 전주시 완산구 당산로 11-3,063-277-7663,,4,N,8,1,,2019-04-01,35.83307198,127.1093247
83,한국어린이집,전라북도,전주시 완산구,민간,99,12,전라북도 전주시 완산구 용산마을길 35,063-222-6531,063-225-4298,7,Y,9,2,,2019-04-01,35.79313163,127.1028472
84,아름다운어린이집,전라북도,전주시 완산구,민간,25,5,전라북도 전주시 완산구 삼천천변1길 9,063-226-0856,063-237-0856,4,Y,0,1,,2019-04-01,35.79536417,127.1114261
85,키즈캠어린이집,전라북도,전주시 완산구,민간,99,10,전라북도 전주시 완산구 평화11길 6-3,063-226-4163,063-226-4163,7,Y,13,2,,2019-04-01,35.78938699,127.1361913
86,굿모닝어린이집,전라북도,전주시 완산구,민간,99,15,전라북도 전주시 완산구 소대배기로 18-28,063-228-2340,063-228-0563,9,Y,12,2,,2019-04-01,35.78677568,127.1315618
87,엄마랑아가랑어린이집,전라북도,전주시 완산구,민간,49,7,전라북도 전주시 완산구 빙고리3길 19,063-288-3113,063-288-3114,5,N,10,1,,2019-04-01,35.81361338,127.1382424
88,큰나무어린이집,전라북도,전주시 완산구,민간,22,6,전라북도 전주시 완산구 거마평로 7,063-228-5994,063-228-5994,3,N,0,1,,2019-04-01,35.79309625,127.1166303
89,예쁜아기별어린이집,전라북도,전주시 완산구,민간,26,5,전라북도 전주시 완산구 효자동3가 서곡로 34,063-904-3002,063-251-3012,3,Y,0,1,,2019-04-01,35.83143239,127.0992794
90,아트빌어린이집,전라북도,전주시 완산구,민간,30,10,전라북도 전주시 완산구 화산천변6길 5,063-227-4231,063-227-4231,4,Y,4,1,,2019-04-01,35.82127411,127.1156103
91,위즈어린이집,전라북도,전주시 완산구,민간,153,12,전라북도 전주시 완산구 쑥고개로 196-32,063-222-8077,063-225-9955,6,Y,0,3,,2019-04-01,35.79568354,127.0884758
92,미키어린이집,전라북도,전주시 완산구,민간,37,8,전라북도 전주시 완산구 삼천천변1길 45,063-225-1002,,4,Y,0,1,,2019-04-01,35.79572647,127.1152545
93,아이들세상어린이집,전라북도,전주시 완산구,민간,163,25,전라북도 전주시 완산구 평화로 71,063-223-0223,063-223-0224,10,Y,16,2,,2019-04-01,35.78321464,127.1331586
94,영생어린이집,전라북도,전주시 완산구,민간,93,17,전라북도 전주시 완산구 삼천천변3길 60,063-226-1881,063-236-1883,6,Y,9,2,,2019-04-01,35.79675422,127.1164331
95,국민연금어린이집,전라북도,전주시 완산구,민간,58,9,전라북도 전주시 완산구 온고을로 13,063-278-8280,063-278-8279,5,Y,0,1,,2019-04-01,35.83340618,127.1216859
96,집현전어린이집,전라북도,전주시 완산구,민간,69,9,전라북도 전주시 완산구 안행5길 5-7,063-226-3967,063-222-3967,5,Y,5,2,,2019-04-01,35.80142216,127.1321041
97,색동어린이집,전라북도,전주시 완산구,민간,35,8,전라북도 전주시 완산구 당산로 43,063-272-0740,063-272-0744,4,N,0,1,,2019-04-01,35.72892331,126.7293287
98,소율어린이집,전라북도,전주시 완산구,민간,93,11,전라북도 전주시 완산구 삼천천변3길 20,063-228-0162,063-228-0163,6,Y,0,2,,2019-04-01,35.7967368,127.112096
99,해뜰어린이집,전라북도,전주시 완산구,민간,36,9,전라북도 전주시 완산구 새터로 95,063-276-0661,063-276-0663,4,N,5,1,,2019-04-01,37.47594397,126.8567405
100,아이뜰어린이집,전라북도,전주시 완산구,민간,99,18,전라북도 전주시 완산구 화산천변2길 11-3,063-229-0078,063-229-0079,9,Y,15,3,,2019-04-01,35.81973276,127.1173001
101,새나라키즈어린이집,전라북도,전주시 완산구,민간,214,23,전라북도 전주시 완산구 안터2길 29,063-272-8415,063-276-9322,11,Y,3,4,,2019-04-01,35.82807111,127.1174063
102,꿈에그린어린이집,전라북도,전주시 완산구,민간,28,7,전라북도 전주시 완산구 구이로 2094,063-227-3888,063-227-3887,3,N,0,1,,2019-04-01,35.78322279,127.131981
103,도담어린이집,전라북도,전주시 완산구,민간,42,11,전라북도 전주시 완산구 화산천변로 50,063-224-4311,063-224-4311,5,Y,0,1,,2019-04-01,35.82393417,127.117292
104,태평어린이집,전라북도,전주시 완산구,민간,49,6,전라북도 전주시 완산구 물레방아1길 43-7,063-275-7341,063-275-7342,4,N,0,1,,2019-04-01,35.82247904,127.1355912
105,보물섬어린이집,전라북도,전주시 완산구,민간,25,8,전라북도 전주시 완산구 서곡로 8,063-255-0090,063-255-0090,3,N,4,1,,2019-04-01,35.83177947,127.0966134
106,마미랑어린이집,전라북도,전주시 완산구,민간,38,5,전라북도 전주시 완산구 용머리로 20-1,063-222-3488,063-221-3488,5,N,14,0,,2019-04-01,35.8044343,127.1121053
107,반올림어린이집,전라북도,전주시 완산구,민간,26,7,전라북도 전주시 완산구 효자동2가 세내로 239,063-229-1195,063-226-1649,3,Y,4,0,,2019-04-01,35.81064708,127.1085536
108,우리들어린이집,전라북도,전주시 완산구,민간,46,11,전라북도 전주시 완산구 산월1길 26,063-245-0108,063-225-0108,4,Y,2,1,,2019-04-01,35.8130709,127.1203256
109,호반어린이집,전라북도,전주시 완산구,민간,37,10,전라북도 전주시 완산구 유연로 217-11,063-229-7955,063-229-7956,4,N,0,1,,2019-04-01,35.82641738,127.1090006
110,해피안어린이집,전라북도,전주시 완산구,민간,29,7,전라북도 전주시 완산구 평화7길 40,063-228-5030,063-228-5030,4,N,4,1,,2019-04-01,35.78510901,127.1391306
111,이계순의 동화속 어린이집,전라북도,전주시 완산구,민간,300,31,전라북도 전주시 완산구 난전들로 219-17,063-225-6800,063-225-6870,16,Y,25,8,,2019-04-01,35.78693607,127.1159158
112,e편한세상어린이집,전라북도,전주시 완산구,민간,26,7,전라북도 전주시 완산구 여울로 161,063-251-2131,063-251-2132,3,Y,4,1,,2019-04-01,35.84071385,127.1064989
113,늘픔어린이집,전라북도,전주시 완산구,민간,67,13,전라북도 전주시 완산구 어은로 33-3,063-227-9397,063-221-6721,7,Y,9,2,,2019-04-01,35.81743429,127.1262694
114,사랑화수분어린이집,전라북도,전주시 완산구,민간,45,10,전라북도 전주시 완산구 소태정로 1,063-223-0279,063-223-0279,4,N,0,1,,2019-04-01,35.80604358,127.0974304
115,골든팰리스어린이집,전라북도,전주시 완산구,민간,21,4,전라북도 전주시 완산구 호암로 40,063-902-2664,,3,Y,0,1,,2019-04-01,36.60935963,127.4184411
116,아르팰리스물앤빛어린이집,전라북도,전주시 완산구,민간,56,13,전라북도 전주시 완산구 호암로 41,063-225-4024,063-226-4024,5,Y,11,1,,2019-04-01,35.81043018,127.0993336
117,아이다솜어린이집,전라북도,전주시 완산구,민간,37,11,전라북도 전주시 완산구 하거마3길 25,063-226-6697,,4,N,0,1,,2019-04-01,35.79416949,127.118182
118,하나캐슬어린이집,전라북도,전주시 완산구,민간,250,20,전라북도 전주시 완산구 장승배기로 46-10,063-225-7942,,13,Y,28,3,,2019-04-01,35.79165061,127.118027
119,SK뷰 생글어린이집,전라북도,전주시 완산구,민간,45,10,전라북도 전주시 완산구 태평2길 22,063-277-4879,063-253-7253,5,N,5,0,,2019-04-01,37.20364032,127.5464217
120,서곡해뜰어린이집,전라북도,전주시 완산구,민간,69,9,전라북도 전주시 완산구 원서곡길 54-1,063-254-3334,063-254-3351,5,Y,7,4,,2019-04-01,35.83266095,127.0940491
121,예대키즈어린이집,전라북도,전주시 완산구,민간,80,16,전라북도 전주시 완산구 평화14길 11,063-253-6400,063-253-6401,6,Y,12,3,,2019-04-01,35.79199103,127.1348915
122,성산어린이집,전라북도,전주시 완산구,민간,33,7,전라북도 전주시 완산구 천경로 7,063-284-3444,063-231-3444,4,N,2,1,,2019-04-01,35.80694099,127.1530423
123,엠코동화어린이집,전라북도,전주시 완산구,민간,43,7,전라북도 전주시 완산구 평화동2가 양지3길 25-1,063-227-2110,,3,N,4,1,,2019-04-01,35.79009018,127.1202794
124,숲소리어린이집,전라북도,전주시 완산구,민간,53,11,전라북도 전주시 완산구 효자동3가 원서곡길 27,063-255-8253,063-255-8253,6,Y,9,2,,2019-04-01,35.83431132,127.0960053
125,송림꽃무지풀무지어린이집,전라북도,전주시 완산구,민간,99,15,전라북도 전주시 완산구 효자동2가 한절길 67-44,063-273-6677,063-225-6966,7,Y,14,3,,2019-04-01,35.80341666,127.0872396
126,오네뜨어린이집,전라북도,전주시 완산구,민간,30,6,전라북도 전주시 완산구 평화동1가 덕적골1길 50,063-284-2580,063-228-2581,3,N,4,1,,2019-04-01,35.79329229,127.1396979
127,세븐팰리스어린이집,전라북도,전주시 완산구,민간,47,10,전라북도 전주시 완산구 효자동2가 우전로 180,063-236-0312,063-236-0355,4,N,7,1,,2019-04-01,35.81024102,127.1017938
128,썬샤인어린이집,전라북도,전주시 완산구,민간,99,1,전라북도 전주시 완산구 효자동2가 우전로 96,063-224-1766,063-236-1766,7,Y,32,2,,2019-04-01,35.80382675,127.1012507
129,이안키즈어린이집,전라북도,전주시 완산구,민간,41,11,전라북도 전주시 완산구 삼천동1가 용리로 165,063-224-2123,063-224-2123,0,N,6,0,,2019-04-01,35.79912396,127.1249104
130,서희스타어린이집,전라북도,전주시 완산구,민간,25,6,전라북도 전주시 완산구 효자동2가 홍산1길 21,063-223-3161,,0,N,5,1,,2019-04-01,35.81439897,127.1073162
131,예다음어린이집,전라북도,전주시 완산구,민간,25,6,전라북도 전주시 완산구 중화산동2가 안행로 165-5,063-903-4001,063-903-4001,0,N,5,0,,2019-04-01,35.81024885,127.131199
132,평화노벨어린이집,전라북도,전주시 완산구,민간,28,3,전라북도 전주시 완산구 평화동1가 덕적골2길 66,063-282-6662,,0,N,5,1,,2019-04-01,35.79333984,127.1411975
133,초록샘어린이집,전라북도,전주시 완산구,민간,30,6,전라북도 전주시 완산구 효자동2가 홍산1길 7,063-228-0123,063-228-3123,0,N,6,0,,2019-04-01,35.81410443,127.108626
134,아이다움어린이집,전라북도,전주시 완산구,민간,53,13,전라북도 전주시 완산구 효자동3가 홍산북로 83,063-714-2999,063-714-2997,0,Y,8,0,,2019-04-01,35.81835354,127.1113605
135,신원아띠어린이집,전라북도,전주시 완산구,민간,21,5,전라북도 전주시 완산구 효자동1가 용머리로 101,063-225-2990,063-226-2990,0,Y,0,0,,2019-04-01,35.80672988,127.1202424
136,힐스테이트어린이집,전라북도,전주시 완산구,민간,29,4,전라북도 전주시 완산구 효자동3가 세내로 291,063-221-2550,063-221-0550,0,Y,0,0,,2019-04-01,35.81641036,127.1115189
137,아이원어린이집,전라북도,전주시 완산구,가정,16,4,전라북도 전주시 완산구 서곡로 8,063-902-6111,063-902-6111,3,N,4,1,,2019-04-01,35.83177947,127.0966134
138,서신피노키오어린이집,전라북도,전주시 완산구,가정,13,4,전라북도 전주시 완산구 새터로 95,063-901-8484,,4,Y,0,0,,2019-04-01,37.47594397,126.8567405
139,조은생각어린이집,전라북도,전주시 완산구,가정,20,5,전라북도 전주시 완산구 서신로 102,063-901-6655,,3,N,0,1,,2019-04-01,35.83527881,127.1169762
140,꼬마들세상 어린이집,전라북도,전주시 완산구,가정,20,2,전라북도 전주시 완산구 덕적골1길 14,063-236-8281,063-236-8281,4,N,0,0,,2019-04-01,35.79622021,127.1380755
141,예쁜아가어린이집,전라북도,전주시 완산구,가정,19,5,전라북도 전주시 완산구 거마평로 125,063-229-3440,063-229-1320,3,N,0,0,,2019-04-01,35.80410034,127.1146346
142,도담아이어린이집,전라북도,전주시 완산구,가정,20,7,전라북도 전주시 완산구 삼천천변1길 45,063-228-1239,,4,N,0,1,,2019-04-01,35.79572647,127.1152545
